Type d’enregistrement (E,A);Code journal;N° écriture;N° pièce;Date pièce;Libellé;Date échéance;Code nature;Racine compte collectif;Montant en euros;Code débit/crédit (C,D);Compte général;Date (date facture ?);Code lettrage;Date lettrage;Compte auxiliaire;Code nature tiers (C,F,A,Blanc);Code trésorerie;N° relance;date valeur;Référence document;N° de séquence;Code section (axe anal.1);Code affaire (axe anal. 2);Code destination (axe anal. 2);Quantité analytique;Montant en devises;Code devise ISO;Taux de la devise;Mode de paiement;Bon à payer;Code banque affectation;Echéance escomptable;Zone texte libre;Ecriture modifiable (L,I,blanc);Date création;Heure création
TYPE;JNAL;NECR;NPIE;DATP;LIBE;DATH;CNPI;RACI;MONT;CODC;CPTG;DATE;CLET;DATL;CPTA;CNAT;CTRE;NORL;DATV;REFD;NECA;CSEC;CAFF;CDES;QTUE;MTDV;CODV;TXDV;MOPM;BONP;BQAF;ECES;TXTL;ECRM;DATK;HEUK
E;71;;83;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;856,55;D;41100000;09/01/26;;;T14963;;;;;;;;;;;;;;VI;;;;;;;
E;71;;83;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;687,98;C;70700300;09/01/26;;;T14963;;;;;;;;;;;;;;VI;;;;;;;
E;71;;83;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;15,82;C;70850300;09/01/26;;;T14963;;;;;;;;;;;;;;VI;;;;;;;
E;71;;83;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;142,75;C;44570000;09/01/26;;;T14963;;;;;;;;;;;;;;VI;;;;;;;
E;71;;83;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;10,00;C;70710300;09/01/26;;;T14963;;;;;;;;;;;;;;VI;;;;;;;
E;71;;82;09/01/2026;ERIC RAJERISON;;;;53,13;D;41100000;09/01/26;;;T14965;;;;;;;;;;;;;;VI;;;;;;;
E;71;;82;09/01/2026;ERIC RAJERISON;;;;2,15;C;70792300;09/01/26;;;T14965;;;;;;;;;;;;;;VI;;;;;;;
E;71;;82;09/01/2026;ERIC RAJERISON;;;;50,98;C;70852300;09/01/26;;;T14965;;;;;;;;;;;;;;VI;;;;;;;
E;71;;81;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;426,70;D;41100000;09/01/26;;;T14963;;;;;;;;;;;;;;VI;;;;;;;
E;71;;81;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;351,70;C;70700300;09/01/26;;;T14963;;;;;;;;;;;;;;VI;;;;;;;
E;71;;81;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;75,00;C;70850300;09/01/26;;;T14963;;;;;;;;;;;;;;VI;;;;;;;
E;71;;78;09/01/2026;CORALIE NOULETTE;;;;21,56;D;41100000;09/01/26;;;T14964;;;;;;;;;;;;;;VI;;;;;;;
E;71;;78;09/01/2026;CORALIE NOULETTE;;;;2,15;C;70792300;09/01/26;;;T14964;;;;;;;;;;;;;;VI;;;;;;;
E;71;;78;09/01/2026;CORALIE NOULETTE;;;;15,82;C;70852300;09/01/26;;;T14964;;;;;;;;;;;;;;VI;;;;;;;
E;71;;78;09/01/2026;CORALIE NOULETTE;;;;3,59;C;44570000;09/01/26;;;T14964;;;;;;;;;;;;;;VI;;;;;;;
E;71;;76;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;816,78;D;41100000;09/01/26;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;76;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;676,78;C;70700300;09/01/26;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;76;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;130,00;C;70850300;09/01/26;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;76;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;10,00;C;70710300;09/01/26;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;77;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;28/02/2026;;;716,88;D;41100000;09/01/26;;;T14963;;;;;;;;;;;;;;TD;;;;;;;
E;71;;77;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;28/02/2026;;;676,78;C;70700300;09/01/26;;;T14963;;;;;;;;;;;;;;TD;;;;;;;
E;71;;77;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;28/02/2026;;;30,10;C;70850300;09/01/26;;;T14963;;;;;;;;;;;;;;TD;;;;;;;
E;71;;77;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;28/02/2026;;;10,00;C;70710300;09/01/26;;;T14963;;;;;;;;;;;;;;TD;;;;;;;
E;71;;75;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;1904,76;D;41100000;09/01/26;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;75;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;1154,76;C;70700300;09/01/26;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;75;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;750,00;C;70850300;09/01/26;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;74;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;12,32;D;41100000;09/01/26;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;74;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;3,67;C;70700300;09/01/26;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;74;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;6,60;C;70850300;09/01/26;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;74;09/01/2026;RAMAZAN SOYLU - RAMAZAN TEST;;;;2,05;C;44570000;09/01/26;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;73;24/12/2025;CORALIE NOULETTE;;;;21,56;D;41100000;24/12/25;;;T14964;;;;;;;;;;;;;;VI;;;;;;;
E;71;;73;24/12/2025;CORALIE NOULETTE;;;;2,15;C;70792300;24/12/25;;;T14964;;;;;;;;;;;;;;VI;;;;;;;
